------------------------------------------------------------
 Electron Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
               9.822,                    0
               9.842,                    0
               9.861,                    0
               9.881,                    0
               9.901,                    0
                9.92,                    0
                9.94,                    0
                9.96,                    0
                9.98,                    0
                  10,                    0
               10.01,                    0
               10.02,                    0
               10.05,                    0
               10.08,                    0
               10.13,                    0
                10.2,                    0
                10.3,                    0
               10.45,                    0
               10.67,                    0
                  11,                    0
               11.33,                    0
               11.55,                    0
                11.7,                    0
                11.8,                    0
               11.87,                    0
               11.92,                    0
               11.95,                    0
               11.98,                    0
               11.99,                    0
                  12,                    0
               12.02,                    0
               12.17,                    0
               13.32,                    0

------------------------------------------------------------
 Hole Density
------------------------------------------------------------
Distance (nm), Carrier Density (/cm3)
              -3.318,                    0
              -2.171,                    0
               -2.02,                    0
                  -2,                    0
               -1.99,                    0
              -1.975,                    0
              -1.954,                    0
              -1.922,                    0
              -1.874,                    0
              -1.805,                    0
              -1.702,                    0
              -1.551,                    0
              -1.328,                    0
                  -1,                    0
             -0.6717,                    0
             -0.4489,                    0
             -0.2978,                    0
             -0.1952,                    0
             -0.1257,                    0
            -0.07849,                    0
            -0.04646,                    0
            -0.02474,                    0
               -0.01,                    0
          -5.759e-16,                    0
                0.02,    5.69915289332e+16
             0.03994,    1.13824842019e+17
             0.05983,    2.25790655982e+17
             0.07967,     3.9382679503e+17
             0.09945,    5.61396444047e+17
              0.1192,    8.32049788734e+17
              0.1388,    1.10493420416e+18
              0.1585,    1.41977520806e+18
               0.178,    1.78997508643e+18
              0.1975,     2.1591472421e+18
               0.217,     2.6052749356e+18
              0.2364,    3.06152798382e+18
              0.2557,    3.53964653245e+18
               0.275,    4.07147575252e+18
              0.2942,    4.60182854597e+18
              0.3134,    5.17684160214e+18
              0.3326,    5.77000082501e+18
              0.3516,    6.36604329836e+18
              0.3707,    7.00879798549e+18
              0.3896,    7.64976830256e+18
              0.4085,    8.30688919232e+18
              0.4274,    8.98390230653e+18
              0.4462,    9.65903594486e+18
               0.465,    1.03534692103e+19
              0.4837,    1.10512987264e+19
              0.5023,    1.17489305648e+19
               0.521,    1.24566658255e+19
              0.5395,    1.31624363216e+19
               0.558,    1.38670147819e+19
              0.5765,    1.45706392685e+19
              0.5949,    1.52723104025e+19
              0.6132,    1.59653267673e+19
              0.6315,    1.66538176992e+19
              0.6498,    1.73403972913e+19
               0.668,    1.80060479111e+19
              0.6861,    1.86695913678e+19
              0.7042,    1.93247846169e+19
              0.7222,    1.99566330878e+19
              0.7402,    2.05867274657e+19
              0.7582,    2.11988753802e+19
              0.7761,    2.17900286432e+19
              0.7939,    2.23795407883e+19
              0.8117,     2.2939988107e+19
              0.8295,     2.3484676981e+19
              0.8472,    2.40278537283e+19
              0.8648,    2.45305273262e+19
              0.8824,    2.50243398254e+19
                 0.9,    2.55167814373e+19
              0.9175,    2.59579566189e+19
              0.9349,    2.63977795087e+19
              0.9523,    2.68293963008e+19
              0.9697,    2.72143990146e+19
               0.987,    2.75983329112e+19
               1.004,    2.79679919556e+19
               1.021,    2.82961605703e+19
               1.039,    2.86234181466e+19
               1.056,    2.89316675925e+19
               1.073,     2.9203211395e+19
                1.09,    2.94740013569e+19
               1.107,    2.97226422406e+19
               1.124,     2.9938645026e+19
               1.141,    3.01540481597e+19
               1.157,    3.03458479179e+19
               1.174,    3.05081404576e+19
               1.191,    3.06699824522e+19
               1.208,    3.08084111879e+19
               1.224,    3.09194444655e+19
               1.241,    3.10301695004e+19
               1.257,    3.11191649646e+19
               1.274,    3.11818874607e+19
                1.29,     3.1244435831e+19
               1.307,     3.1288200498e+19
               1.323,    3.13059421069e+19
                1.34,    3.13236344629e+19
               1.356,    3.13264659082e+19
               1.372,    3.13028304127e+19
               1.388,    3.12792605324e+19
               1.404,     3.1245414601e+19
               1.421,    3.11841820277e+19
               1.437,     3.1123119444e+19
               1.453,    3.10567043912e+19
               1.469,    3.09617440474e+19
               1.484,    3.08670473257e+19
                 1.5,    3.07719462033e+19
               1.516,    3.06471407395e+19
               1.532,    3.05226817517e+19
               1.548,    3.03985682781e+19
               1.563,    3.02516792829e+19
               1.579,    3.01012773646e+19
               1.595,    2.99512929813e+19
                1.61,    2.97861983504e+19
               1.626,    2.96135670849e+19
               1.641,    2.94414150661e+19
               1.657,    2.92609580629e+19
               1.672,    2.90696615011e+19
               1.687,    2.88788960033e+19
               1.703,    2.86855623377e+19
               1.718,     2.8478980416e+19
               1.733,    2.82729719925e+19
               1.748,     2.8067535475e+19
               1.764,    2.78502117541e+19
               1.779,    2.76321208321e+19
               1.794,    2.74146353587e+19
               1.809,    2.71912933787e+19
               1.824,    2.69640514903e+19
               1.839,    2.67374404548e+19
               1.854,    2.65094145282e+19
               1.868,     2.6275713918e+19
               1.883,    2.60426620908e+19
               1.898,    2.58102572457e+19
               1.913,    2.55733219286e+19
               1.927,    2.53362691778e+19
               1.942,    2.50998745161e+19
               1.957,    2.48623854189e+19
               1.971,     2.4623525528e+19
               1.986,     2.4385328743e+19
                   2,    2.41477503978e+19
               2.015,    2.39090356492e+19
               2.029,    2.36709836036e+19
               2.044,    2.34335924212e+19
               2.058,    2.31967934539e+19
               2.072,    2.29605974154e+19
               2.086,    2.27250570876e+19
               2.101,    2.24902316485e+19
               2.115,    2.22573783111e+19
               2.129,    2.20251714046e+19
               2.143,    2.17936091346e+19
               2.157,    2.15640375892e+19
               2.171,    2.13364328682e+19
               2.185,    2.11094600073e+19
               2.199,    2.08831172523e+19
               2.213,    2.06609069276e+19
               2.227,    2.04395896227e+19
               2.241,    2.02188867233e+19
               2.254,    2.00002776423e+19
               2.268,    1.97854959861e+19
               2.282,    1.95713105915e+19
               2.295,    1.93577198032e+19
               2.309,    1.91483570295e+19
               2.323,    1.89413963943e+19
               2.336,    1.87350103086e+19
                2.35,    1.85291971774e+19
               2.363,    1.83298902998e+19
               2.377,     1.8131259069e+19
                2.39,    1.79331792641e+19
               2.403,    1.77373163074e+19
               2.417,    1.75468492017e+19
                2.43,    1.73569108574e+19
               2.443,    1.71674998064e+19
               2.457,    1.69819910361e+19
                2.47,    1.68004767034e+19
               2.483,    1.66194662779e+19
               2.496,    1.64389583608e+19
               2.509,    1.62638330793e+19
               2.522,    1.60913937574e+19
               2.535,    1.59194331493e+19
               2.548,     1.5747949926e+19
               2.561,    1.55830375441e+19
               2.574,    1.54196965901e+19
               2.587,    1.52568090917e+19
               2.599,      1.509437379e+19
               2.612,    1.49393500733e+19
               2.625,    1.47850456722e+19
               2.638,      1.463116964e+19
                2.65,    1.44779551065e+19
               2.663,    1.43321482428e+19
               2.676,    1.41867461578e+19
               2.688,    1.40417477277e+19
               2.701,    1.38975896222e+19
               2.713,    1.37605144991e+19
               2.726,    1.36238199143e+19
               2.738,    1.34875048113e+19
               2.751,    1.33518896136e+19
               2.763,    1.32233009955e+19
               2.775,    1.30950693559e+19
               2.788,     1.2967193704e+19
                 2.8,    1.28396730514e+19
               2.812,    1.27191863588e+19
               2.824,     1.2599133178e+19
               2.836,    1.24794132803e+19
               2.849,    1.23600257405e+19
               2.861,     1.2246724755e+19
               2.873,    1.21345344263e+19
               2.885,    1.20226555523e+19
               2.897,    1.19110872686e+19
               2.909,    1.18043879051e+19
               2.921,    1.16997216534e+19
               2.932,    1.15953459688e+19
               2.944,    1.14912600446e+19
               2.956,    1.13906008002e+19
               2.968,    1.12931037032e+19
                2.98,    1.11958772707e+19
               2.991,    1.10989207514e+19
               3.003,    1.10037713956e+19
               3.015,    1.09130785516e+19
               3.026,    1.08226374826e+19
               3.038,    1.07324474898e+19
                3.05,     1.0642507876e+19
               3.061,    1.05580568432e+19
               3.073,    1.04740326389e+19
               3.084,    1.03902416966e+19
               3.096,    1.03066833688e+19
               3.107,    1.02264806499e+19
               3.118,     1.0148504727e+19
                3.13,    1.00707452754e+19
               3.141,    9.99320169402e+18
               3.152,    9.91683799369e+18
               3.163,    9.84454571188e+18
               3.175,    9.77245412279e+18
               3.186,    9.70056266926e+18
               3.197,    9.62887079569e+18
               3.208,    9.56070808532e+18
               3.219,    9.49392787691e+18
                3.23,    9.42733305898e+18
               3.241,    9.36092311687e+18
               3.252,    9.29561210555e+18
               3.263,    9.23379666974e+18
               3.274,    9.17215284156e+18
               3.285,    9.11068014461e+18
               3.296,    9.04937810381e+18
               3.307,    8.99076537807e+18
               3.318,    8.93373890127e+18
               3.329,    8.87687073733e+18
